spotID,plane,x,y,peak,x0,xdev,y0,ydev,ecc,int,bkgrnd,usable,image number,bounding box area
1,9,576,412,314.25,7.04,2.02,4.28,2.26,0.447,7993.92,490.74,1,1,80,
2,9,926,608,245.87,4.17,1.83,3.61,1.76,0.255,4011.58,442.73,1,1,36,
3,9,1033,546,312.27,3.98,2.02,4.02,1.98,0.206,6674.01,480.10,1,1,49,
4,9,467,538,196.41,3.24,1.62,4.29,1.68,0.257,3025.09,579.97,1,1,42,
5,9,878,280,163.87,3.46,1.21,4.29,1.83,0.753,2124.36,487.37,1,1,42,
6,9,1250,79,216.19,5.47,2.12,4.28,1.74,0.567,4847.58,476.73,1,1,90,
7,9,1106,327,240.15,15.92,10.89,19.59,9.05,0.556,106338.34,424.47,0,1,899,
8,9,834,1020,113.64,3.95,1.27,6.95,4.01,0.948,1814.48,438.15,1,1,49,
9,9,855,1182,247.25,3.53,1.77,6.21,3.73,0.880,8677.86,472.80,1,1,84,
10,9,865,1184,249.23,3.43,4.73,5.55,12.31,0.923,18313.13,334.06,1,1,84,
11,9,869,1192,212.81,6.84,3.71,4.45,2.06,0.832,8682.01,430.49,1,1,98,
12,9,780,1364,54556.33,3.52,161.87,3.33,227.19,0.702,5889833.70,-54058.81,0,1,108,
13,9,707,1380,178.09,4.53,1.30,3.42,1.29,0.079,1858.97,459.71,1,1,72,
14,10,673,1330,123.43,6.00,2.43,6.37,1.91,0.616,3341.67,444.66,1,1,99,
15,11,525,1323,211.68,4.51,1.82,3.20,1.49,0.576,3191.76,457.63,1,1,40,
16,8,531,1127,244.11,4.09,1.27,3.31,1.41,0.425,2592.40,481.96,1,1,36,
17,10,588,1091,206.25,3.90,1.47,3.56,2.00,0.677,3464.02,535.59,1,1,56,
18,10,517,1084,137.62,2.54,1.87,3.41,1.15,0.787,1591.55,609.03,1,1,42,
19,9,422,1016,297.48,7.58,2.02,4.93,1.47,0.686,5158.75,552.14,1,1,90,
20,8,389,837,305.72,3.40,2.01,3.68,2.96,0.735,6842.02,352.89,1,1,36,
21,8,398,842,175.90,3.74,1.17,3.18,0.91,0.626,1098.62,474.66,0,1,25,
22,9,246,641,194.41,4.27,2.26,3.34,1.63,0.695,3988.51,486.62,1,1,64,
23,9,233,434,93510.43,19.71,408.56,14.32,255.19,0.781,65412202.52,-92830.89,0,1,700,
24,9,348,408,186.75,6.56,1.60,4.16,1.17,0.677,2089.11,452.63,1,1,54,
25,9,361,419,170.40,6.66,1.36,6.47,1.73,0.618,2211.74,433.14,1,1,72,
26,9,562,429,174.56,4.40,2.03,3.14,1.58,0.625,3195.90,476.38,1,1,56,
27,6,821,840,80279.58,12.28,342.08,16.26,294.51,0.509,109751183.57,-79465.51,0,1,1369,
28,8,118,229,286.52,5.30,2.38,4.41,1.90,0.602,7746.24,416.69,1,2,99,
29,12,74,1018,251.72,7.68,1.88,3.99,1.34,0.703,3886.80,455.85,1,2,99,
30,9,228,1043,115822.77,4.15,167.00,3.00,69.68,0.909,5210261.31,-115327.08,1,2,45,
31,9,225,994,252.95,8.48,11.91,4.05,2.43,0.979,14939.31,286.75,1,2,84,
32,9,304,780,231.63,4.04,1.93,3.20,1.77,0.408,4218.46,368.75,1,2,42,
33,7,473,817,221.18,4.01,1.99,3.19,1.27,0.770,2954.86,406.98,1,2,36,
34,8,1202,491,197.64,4.73,2.11,4.17,2.04,0.241,4731.62,399.55,1,2,63,
